단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30700292,건설임대,LH대전충남,태안평천 휴먼시아2단지,아파트,충청남도 태안군 태안읍 동평로 42,0,44,41,108,114,88,120,70,50,108,98,115,92,103,81,62,50,36,18,8,1,0,0
30699480,매입임대(단지유형),LH대전충남,태안서린허브빌(부도),아파트,충청남도 태안군 태안읍 평촌길 25,0,0,2,2,8,3,4,5,4,4,4,8,13,15,12,9,7,11,1,0,1,0,0
30700423,건설임대,LH대전충남,LH홍성광천아파트,아파트,충청남도 홍성군 광천읍 광천로428번길 46-14,284,12,12,19,19,18,39,21,23,26,42,58,50,47,36,44,29,18,11,4,2,0,0
30700261,매입임대(단지유형),LH대전충남,구항온누리아파트,아파트,충청남도 홍성군 구항면 구항길57번길 25,23,0,0,1,0,0,3,4,1,2,3,3,3,6,6,0,1,0,0,1,0,0,0
30842055,건설임대,LH대전충남,내포신도시 RH-7블록,아파트,충청남도 홍성군 홍북읍 홍예로 213,1584,239,272,266,305,227,272,446,459,447,452,318,308,284,276,83,96,54,37,12,5,1,4
30699384,건설임대,LH대전충남,홍성남장3단지,아파트,충청남도 홍성군 홍성읍 남장중로 10,659,42,35,70,85,66,79,82,67,101,107,128,91,122,105,66,36,44,11,8,2,0,0
31027708,건설임대,LH대전충남,홍성남장4(3BL),아파트,충청남도 홍성군 홍성읍 남장중로 37,518,14,9,22,18,42,39,54,47,56,47,57,64,69,77,34,40,20,14,5,1,0,0
31238758,매입임대,LH대전충남,매입다가구(충남홍성군),다가구주택,충청남도 홍성군 홍성읍 내포로156번길 54,0,0,0,0,1,1,0,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0
30700106,건설임대,LH대전충남,홍성남장2 주공아파트,아파트,충청남도 홍성군 홍성읍 문화로72번길 72,468,43,57,143,149,111,117,75,59,173,103,121,103,76,62,38,28,34,9,5,1,0,0
31235464,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31253002,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31255185,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31255191,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31255193,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31256369,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31257661,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31257662,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31257666,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31263836,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31263837,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31264911,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
31264935,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31265406,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31265876,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31266171,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31266184,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31266463,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31266508,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31266741,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31267751,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31268194,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31268197,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31268661,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31268662,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31268663,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31268664,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31268672,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31268673,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31268674,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31268687,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31270987,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31270997,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31273168,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31273192,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31273436,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31273685,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31274671,매입임대,LH대전충남,매입다가구(충남아산시),아파트,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30700797,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 경산로 153,136,4,0,1,3,2,2,2,1,0,2,4,1,2,1,0,1,0,0,0,0,0,0
30700798,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 경산로 153-1,136,1,2,1,1,3,3,0,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0
30700641,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경산로13길 17-6,0,0,0,2,2,0,1,0,0,1,3,1,0,1,1,0,1,1,0,0,0,0,0
30700643,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경안로27길 7,0,1,0,2,3,2,4,0,2,4,0,2,1,1,1,1,2,1,1,0,0,0,0
30700642,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경안로27길 7-1,0,0,0,1,4,3,3,0,0,4,2,2,0,1,1,2,0,1,1,0,0,0,0
30700644,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경안로33길 36-2,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,1,0,2,0,0,0,0,0
30966449,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경안로36길 3,0,0,0,0,0,1,1,1,2,1,1,2,1,0,5,2,1,3,0,0,0,0,0
30700645,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경안로67길 2-5,0,0,1,0,0,1,1,2,0,0,1,3,0,0,1,1,1,0,1,0,0,0,0
30700646,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경청로217길 11-5,0,0,0,0,1,1,2,0,1,0,0,2,1,0,1,1,2,0,0,0,0,0,0
30700647,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 경청로217길 11-9,0,0,3,1,3,0,1,1,0,2,0,1,2,1,1,1,0,0,0,0,0,0,0
31249151,매입임대,LH대구경북,매입다가구(경북경산시),아파트,경상북도 경산시 경청로222길 34,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
31249489,매입임대,LH대구경북,매입다가구(경북경산시),아파트,경상북도 경산시 경청로222길 34,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0
31250248,매입임대,LH대구경북,매입다가구(경북경산시),아파트,경상북도 경산시 경청로222길 34,0,0,0,0,0,2,1,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
31251573,매입임대,LH대구경북,매입다가구(경북경산시),아파트,경상북도 경산시 경청로222길 34,0,2,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30700198,건설임대,LH대구경북,경산백천주공,아파트,경상북도 경산시 경청로222길 7,627,8,9,24,21,66,87,39,44,61,49,91,96,130,101,95,36,91,21,17,1,0,0
30700799,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 계양로 50,136,3,3,3,0,0,1,6,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
