hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,임대종류,준공일자,주택유형,건물형태,난방방식,승강기설치여부,공급면적(전용),공급면적(공용),임대보증금,임대료,전환보증금,x,y
31024724,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지,1.15301110010027e+18,272,천왕로10,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-06-25,아파트,계단식,개별가스난방,전체동 설치,59.95,24.54,102880000,0,0,37.4804450,126.8418638
31024724,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지,1.15301110010027e+18,272,천왕로10,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-06-25,아파트,계단식,개별가스난방,전체동 설치,59.96,25.09,151900000,0,0,37.4804450,126.8418638
31024724,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지,1.15301110010027e+18,272,천왕로10,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-06-25,아파트,계단식,개별가스난방,전체동 설치,59.96,25.09,102880000,0,0,37.4804450,126.8418638
31024724,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지,1.15301110010027e+18,272,천왕로10,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-06-25,아파트,계단식,개별가스난방,전체동 설치,84.96,23.49,292000000,0,0,37.4804450,126.8418638
31024724,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지,1.15301110010027e+18,34,천왕로10,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2011-06-25,아파트,계단식,개별가스난방,전체동 설치,59.96,25.09,47820000,336100,0,37.4804450,126.8418638
31024724,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지,1.15301110010027e+18,34,천왕로10,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2011-06-25,아파트,계단식,개별가스난방,전체동 설치,59.95,24.54,47820000,336100,0,37.4804450,126.8418638
31024747,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지(서울리츠3호),1.15301110010027e+18,152,천왕로10,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-07-19,아파트,계단식,개별가스난방,전체동 설치,114.85,28.82,388800000,0,0,37.4804450,126.8418638
31024747,2,B551452,Off,C,서울특별시 구로구 천왕로 10,11,아파트,천왕이펜하우스5단지(서울리츠3호),1.15301110010027e+18,152,천왕로10,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2011-07-19,아파트,계단식,개별가스난방,전체동 설치,114.85,28.82,339750000,0,0,37.4804450,126.8418638
31007918,2,B551452,Off,C,서울특별시 양천구 신정로 110,11,아파트,신정4지구 보금자리주택(임대),1.14701010010831e+18,200,신정로110,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2016-08-10,아파트,혼합식,지역난방,전체동 설치,59.99,28.9,204750000,0,0,37.5057283,126.8348061
31007918,2,B551452,Off,C,서울특별시 양천구 신정로 110,11,아파트,신정4지구 보금자리주택(임대),1.14701010010831e+18,200,신정로110,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2016-08-10,아파트,혼합식,지역난방,전체동 설치,49.99,23.75,167250000,0,0,37.5057283,126.8348061
31007918,2,B551452,Off,C,서울특별시 양천구 신정로 110,11,아파트,신정4지구 보금자리주택(임대),1.14701010010831e+18,200,신정로110,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2016-08-10,아파트,혼합식,지역난방,전체동 설치,49.99,23.75,136000000,0,0,37.5057283,126.8348061
31007918,2,B551452,Off,C,서울특별시 양천구 신정로 110,11,아파트,신정4지구 보금자리주택(임대),1.14701010010831e+18,200,신정로110,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2016-08-10,아파트,혼합식,지역난방,전체동 설치,49.99,23.63,167250000,0,0,37.5057283,126.8348061
31007918,2,B551452,Off,C,서울특별시 양천구 신정로 110,11,아파트,신정4지구 보금자리주택(임대),1.14701010010831e+18,200,신정로110,XXX,7,장기전세,SH공사,http://www.i-sh.co.kr,Y,장기전세,2016-08-10,아파트,혼합식,지역난방,전체동 설치,49.99,23.63,136000000,0,0,37.5057283,126.8348061
31007918,2,B551452,Off,C,서울특별시 양천구 신정로 110,11,아파트,신정4지구 보금자리주택(임대),1.14701010010831e+18,220,신정로110,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2016-08-10,아파트,혼합식,지역난방,전체동 설치,39.92,19.75,25970000,216900,0,37.5057283,126.8348061
31007918,2,B551452,Off,C,서울특별시 양천구 신정로 110,11,아파트,신정4지구 보금자리주택(임대),1.14701010010831e+18,220,신정로110,XXX,2,국민임대,SH공사,http://www.i-sh.co.kr,Y,국민임대,2016-08-10,아파트,혼합식,지역난방,전체동 설치,39.99,19.78,25970000,216900,0,37.5057283,126.8348061
31044811,2,B551452,Off,C,서울특별시 종로구 송월길 130,11,아파트,경희궁자이(돈의문1구역),1.11101810010011e+18,308,송월길130,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2017-06-30,아파트,복도식,개별난방,전체동 설치,54.16,26.16,73070000,247300,0,37.5720123,126.9635035
