rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1174,31267941,01,D168369,Off,B,경기도 수원시 권선구 덕영대로1190번길 100,11,아파트,매입다가구(경기수원시),4111313700113370000,1,덕영대로1190번길100,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.02103198107,37.2448553664654
1175,31252701,01,D168291,Off,B,경기도 의정부시 장곡로 532,11,아파트,매입다가구(경기의정부시),4115010400107550002,1,장곡로532,FLE00020751,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.063808137664,37.7480711308431
1176,31261188,01,D168369,Off,B,경기도 수원시 권선구 동수원로177번길 40,11,아파트,매입다가구(경기수원시),4111313700113640000,1,동수원로177번길40,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.02978812974,37.2466230379114
1177,31264669,01,D168341,Off,B,경기도 김포시 김포한강8로 281,11,아파트,경기도 김포시,4157010800106160003,1,김포한강8로281,XXX,04,매입임대,LH인천,http://www.lh.or.kr,Y,126.637723825075,37.6447406131693
1178,31264695,01,D168341,Off,B,경기도 고양시 일산동구 숲속마을1로 115,11,아파트,경기도 고양시,4128510700112580000,1,숲속마을1로115,FLE00021453,04,매입임대,LH인천,http://www.lh.or.kr,Y,126.800174421916,37.6714067901643
1179,31264704,01,D168341,Off,B,경기도 김포시 김포한강7로22번길 22,11,아파트,경기도 김포시,4157010800106360001,1,김포한강7로22번길22,XXX,04,매입임대,LH인천,http://www.lh.or.kr,Y,126.63195953698,37.6397819066082
1180,31273429,01,D168369,Off,B,경기도 용인시 기흥구 한보라2로 167,11,아파트,매입다가구(경기용인시),4146310700106790000,1,한보라2로167,FLE00021086,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.10837341903,37.2437257931403
1181,31273438,01,D168369,Off,B,경기도 용인시 기흥구 한보라2로 167,11,아파트,매입다가구(경기용인시),4146310700106790000,1,한보라2로167,FLE00021052,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.10837341903,37.2437257931403
1182,31259912,01,D168369,Off,B,경기도 의왕시 보식골로 17,11,아파트,매입다가구(경기의왕시),4143010500108870000,1,보식골로17,XXX,04,매입임대,LH경기,http://www.lh.or.kr,Y,126.970088829511,37.3591185200659
1183,31274664,01,D168341,Off,B,경기도 김포시 양촌읍 양곡3로 155,11,아파트,매입다가구(경기김포시),4157025621112380000,2,양곡3로155,XXX,04,매입임대,LH인천,http://www.lh.or.kr,Y,126.633252013608,37.6625413959363
1184,31275332,01,D168369,Off,B,경기도 용인시 기흥구 강남동로 54,11,아파트,매입다가구(경기용인시),4146310200106040000,1,강남동로54,FLE00021065,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.133165684452,37.2699661635644
1185,31275333,01,D168369,Off,B,경기도 용인시 기흥구 동백8로131번길 9,11,아파트,매입다가구(경기용인시),4146311500105830000,1,동백8로131번길9,FLE00021041,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.164910390986,37.2828022363331
1186,31275351,01,D168369,Off,B,경기도 용인시 수지구 대지로 125,11,아파트,매입다가구(경기용인시),4146510200112160000,1,대지로125,FLE00021085,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.122936412817,37.3300672946029
1187,31275383,01,D168369,Off,B,경기도 용인시 기흥구 한보라1로 91,11,아파트,매입다가구(경기용인시),4146310500106200000,1,한보라1로91,FLE00021057,04,매입임대,LH경기,http://www.lh.or.kr,Y,127.105961870452,37.2481221148679
