rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
407,30700275,01,D168001,Off,C,충청남도 예산군 예산읍 벚꽃로 175-30,11,아파트,예산발연주공,4481025026101150001,516,벚꽃로175-30,FLE00005148,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,126.833746957075,36.6973664815205
408,30700096,01,D168001,Off,C,충청남도 천안시 서북구 봉서산샛길 64,11,아파트,쌍용마을 뜨란채,4413310700119200000,312,봉서산샛길64,FLE00005173,03,50년임대,LH대전충남,http://www.lh.or.kr,Y,127.120652008846,36.8048917006197
409,30700105,01,D168001,Off,C,충청남도 논산시 대화로 143,11,아파트,논산대교휴먼시아,4423010300103300000,548,대화로143,FLE00005197,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.091415439397,36.2111662067232
410,30700422,01,D168001,Off,C,충청남도 논산시 대학로65번길 19,11,아파트,논산내동2휴먼시아,4423010900111090000,100,대학로65번길19,FLE00005065,01,영구임대,LH대전충남,http://www.lh.or.kr,Y,127.104402979593,36.1798513580531
411,30700527,01,D168001,Off,D,충청남도 아산시 순천향로 602,11,아파트,아산엘크루,4420010600104530000,70,순천향로602,XXX,05,10년임대,LH대전충남,http://www.lh.or.kr,Y,126.988961381621,36.7511563401511
412,30853196,01,D168001,Off,C,충청남도 논산시 시민로132번길 10,11,아파트,"논산내동2(05,국민) 1단지",4423010900111080000,538,시민로132번길10,XXX,05,10년임대,LH대전충남,http://www.lh.or.kr,Y,127.102290791785,36.1798052835133
413,30700259,01,D168001,Off,D,충청남도 아산시 신창면 서부북로 270,11,아파트,창덕에버빌아파트,4420041031100930004,195,서부북로270,XXX,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,126.898818050727,36.8120877839046
414,30700257,01,D168001,Off,C,충청남도 아산시 배방읍 연화로 16,11,아파트,연화마을휴먼시아7단지아파트,4420025331115410000,756,연화로16,FLE00004904,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.091990800429,36.785459631306
415,31106325,01,D168001,Off,C,충청남도 공주시 무령로 600-25,11,아파트,공주월송 A3BL,4415011900106190000,468,무령로600-25,XXX,02,국민임대,LH대전충남,http://www.lh.or.kr,Y,127.155221268873,36.4752327419475
416,31106325,01,D168001,Off,C,충청남도 공주시 무령로 600-25,11,아파트,공주월송 A3BL,4415011900106190000,200,무령로600-25,XXX,09,행복주택,LH대전충남,http://www.lh.or.kr,Y,127.155221268873,36.4752327419475
417,31128868,01,D168001,Off,D,충청남도 아산시 신창면 행목로 217,11,아파트,아산친오애아파트,4420041025104970000,19,행목로217,XXX,05,10년임대,LH대전충남,http://www.lh.or.kr,Y,126.953979754179,36.7829892477701
