rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
293,31268170,02,B551452,Off,C,서울특별시 강남구 삼성로 11,11,아파트,디에이치 아너힐즈(개포주공3),1168010300101380000,85,삼성로11,XXX,09,행복주택,SH공사,http://www.i-sh.co.kr,Y,null,null
294,31270975,02,B551452,Off,C,서울특별시 강서구 공항대로 583,11,아파트,e편한세상 염창(염창1),1150010100103090000,56,공항대로583,XXX,09,행복주택,SH공사,http://www.i-sh.co.kr,Y,126.870192534103,37.548340985062
295,31252659,01,D168291,Off,B,서울특별시 도봉구 도봉로170길 40,11,아파트,매입다가구(서울도봉구),1132010800106550000,1,도봉로170길40,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.047607518936,37.6798323299763
296,31252667,01,D168291,Off,B,서울특별시 양천구 남부순환로85길 16,11,아파트,서울특별시 양천구,1147010300110280000,1,남부순환로85길16,FLE00020084,04,매입임대,LH서울,http://www.lh.or.kr,Y,126.842421536906,37.5147987784006
297,31252675,01,D168291,Off,B,서울특별시 양천구 남부순환로85길 16,11,아파트,서울특별시 양천구,1147010300110280000,1,남부순환로85길16,FLE00020085,04,매입임대,LH서울,http://www.lh.or.kr,Y,126.842421536906,37.5147987784006
298,31252693,01,D168291,Off,B,서울특별시 성북구 솔샘로24길 15,11,아파트,서울특별시 성북구,1129013300110280000,1,솔샘로24길15,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.009201921372,37.615462893801
299,31274639,02,B551452,Off,C,서울특별시 노원구 수락산로 12,11,아파트,노원센트럴푸르지오(상계4),1135010500100850033,17,수락산로12,XXX,09,행복주택,SH공사,http://www.i-sh.co.kr,Y,127.074453902549,37.6645537344908
300,31289700,01,D168291,Off,B,서울특별시 강북구 수유로12길 63,11,아파트,서울특별시 강북구,1130510300100500031,36,수유로12길63,FLE00021485,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.021846584043,37.6321380281983
301,31287189,01,D168291,Off,B,서울특별시 은평구 가좌로 330,11,아파트,서울특별시 은평구,1138010900100190162,10,가좌로330,FLE00021486,04,매입임대,LH서울,http://www.lh.or.kr,Y,126.908801705164,37.5967260944158
302,31287194,01,D168291,Off,B,서울특별시 관악구 난곡로 55,11,아파트,서울특별시 관악구,1162010200117350000,1,난곡로55,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,126.919185574327,37.4604293928594
303,31282720,02,B551452,Off,C,서울특별시 서대문구 거북골로 84,11,아파트,DMC에코자이(가재울6구역),1141012000102240001,125,거북골로84,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.919749852713,37.5768454758241
304,31295087,02,B551452,Off,C,서울특별시 마포구 대흥로 175,11,아파트,신촌그랑자이(대흥2구역),1144010800100170005,154,대흥로175,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.945343588732,37.5544378495055
305,31285944,01,D168291,Off,B,서울특별시 도봉구 도봉로 415,11,아파트,서울특별시 도봉구,1132010500101030069,1,도봉로415,FLE00021473,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.031183060652,37.6435318280012
306,31285945,01,D168291,Off,B,서울특별시 도봉구 도봉로 415,11,아파트,서울특별시 도봉구,1132010500101030069,1,도봉로415,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.031183060652,37.6435318280012
307,31285953,01,D168291,Off,B,서울특별시 도봉구 도봉로 415,11,아파트,서울특별시 도봉구,1132010500101030069,1,도봉로415,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.031183060652,37.6435318280012
308,31284070,01,D168291,Off,B,서울특별시 도봉구 우이천로4라길 11-14,11,아파트,서울특별시 도봉구,1132010700108210000,1,우이천로4라길11-14,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.041904273286,37.6334135501134
309,31285974,01,D168291,Off,B,서울특별시 관악구 난곡로 55,11,아파트,서울특별시 관악구,1162010200117350000,2,난곡로55,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,126.919185574327,37.4604293928594
310,31285975,01,D168291,Off,B,서울특별시 관악구 난곡로 55,11,아파트,서울특별시 관악구,1162010200117350000,1,난곡로55,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,126.919185574327,37.4604293928594
311,31285998,01,D168291,Off,B,서울특별시 도봉구 도봉로 415,11,아파트,서울특별시 도봉구,1132010500101030069,1,도봉로415,XXX,04,매입임대,LH서울,http://www.lh.or.kr,Y,127.031183060652,37.6435318280012
312,31332427,02,B551452,Off,C,서울특별시 강동구 아리수로93가길 110,11,아파트,고덕강일공공주택지구4단지(임대),1174011000101140000,402,아리수로93가길110,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,127.172451752333,37.571901605261
313,31311950,01,D168291,Off,B,서울특별시 마포구 만리재로 96,11,아파트,서울특별시 마포구,1144010200101080057,65,만리재로96,FLE00023241,04,매입임대,LH서울,http://www.lh.or.kr,Y,126.959891840297,37.5488216835424
314,30583441,02,B551452,Off,C,서울특별시 강남구 도곡로 320,11,아파트,래미안도곡카운티,1168011800105380003,14,도곡로320,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.050961712267,37.4954055143468
315,30582313,02,B551452,Off,C,서울특별시 은평구 진관4로 48-17,11,아파트,"상림마을7-4단지(은평1-10,임대)",1138011400100120000,36,진관4로48-17,FLE00006269,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.928128673411,37.6443228670772
316,31331384,02,B551452,Off,C,서울특별시 강남구 개포로 264,11,아파트,개포래미안포레스트(개포시영),1168010300106560004,120,개포로264,XXX,09,행복주택,SH공사,http://www.i-sh.co.kr,Y,null,null
317,31315351,02,B551452,Off,C,서울특별시 송파구 오금로 551,11,아파트,E편한세상송파파크센트럴(거여2-2구역)_재개발,1171011300102340000,207,오금로551,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,null,null
318,31359419,02,B551452,Off,C,서울특별시 양천구 중앙로43길 14,11,아파트,래미안 목동아델리체(신정2-1구역),1147010100111750028,308,중앙로43길14,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.852093219282,37.5193169939354
319,31338839,02,B551452,Off,C,서울특별시 송파구 오금로 551,11,아파트,송파파크센트럴(거여2-2)_재건축,1171011300102340000,20,오금로551,XXX,09,행복주택,SH공사,http://www.i-sh.co.kr,Y,127.149966758357,37.4930385536059
320,31338840,02,B551452,Off,C,서울특별시 구로구 경인로27길 7,11,아파트,숲에리움(오류1동 청신호),1153010800100310138,360,경인로27길7,XXX,09,행복주택,SH공사,http://www.i-sh.co.kr,Y,126.845135124999,37.4971130019131
321,30583418,02,B551452,Off,C,서울특별시 은평구 통일로 792,11,아파트,북한산힐스테이트(불광7),1138010300106430001,188,통일로792,FLE00006325,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.926849301879,37.6155775838965
322,30583318,02,B551452,Off,C,서울특별시 마포구 만리재로 74,11,아파트,신공덕2삼성,1144010300101590000,103,만리재로74,FLE00006732,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.958245052982,37.5472431049069
323,30700408,01,D168291,Off,C,서울특별시 서초구 양재대로2길 34,11,아파트,엘에이치 서초 3단지,1165010300107840000,100,양재대로2길34,FLE00006239,01,영구임대,LH서울,http://www.lh.or.kr,Y,127.022593371405,37.4582817310991
324,30700408,01,D168291,Off,C,서울특별시 서초구 양재대로2길 34,11,아파트,엘에이치 서초 3단지,1165010300107840000,250,양재대로2길34,FLE00006239,07,장기전세,LH서울,http://www.lh.or.kr,Y,127.022593371405,37.4582817310991
325,30699923,01,D168291,Off,C,서울특별시 강북구 한천로115길 20,11,아파트,서울번동 주공5단지,1130510200102300000,1003,한천로115길20,FLE00004817,01,영구임대,LH서울,http://www.lh.or.kr,Y,127.037807646678,37.6320967897558
326,30582258,02,B551452,Off,C,서울특별시 노원구 섬밭로 201,11,아파트,하계5단지,1135010400102720000,640,섬밭로201,XXX,01,영구임대,SH공사,http://www.i-sh.co.kr,Y,127.065978834852,37.6343097907199
327,30582270,02,B551452,Off,C,서울특별시 강서구 방화대로48길 40,11,아파트,방화2-1단지,1150010900108390000,1563,방화대로48길40,XXX,01,영구임대,SH공사,http://www.i-sh.co.kr,Y,126.81914004138,37.5757412499312
328,30582273,02,B551452,Off,C,서울특별시 강서구 개화동로21길 4,11,아파트,방화11단지,1150010900108510000,1065,개화동로21길4,XXX,01,영구임대,SH공사,http://www.i-sh.co.kr,Y,126.804694605499,37.5705066117941
329,30582277,02,B551452,Off,C,서울특별시 양천구 목동로3길 57,11,아파트,신정양천,1147010100102760000,2998,목동로3길57,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.865199372818,37.5123179867991
330,30583392,02,B551452,Off,C,서울특별시 서초구 서초중앙로24길 33,11,아파트,서초교대이편한세상,1165010800116860009,24,서초중앙로24길33,FLE00006765,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.017206766737,37.4954208122453
331,30583396,02,B551452,Off,C,서울특별시 강북구 삼양로27길 19,11,아파트,래미안트리베라2차(래미안트리베라12),1130510100108120000,228,삼양로27길19,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.020131353544,37.6186417113202
332,30583397,02,B551452,Off,C,서울특별시 성북구 길음로 33,11,아파트,길음뉴타운8단지(길음8),1129013400112840000,120,길음로33,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.021894841507,37.6057469152224
333,30583398,02,B551452,Off,C,서울특별시 강남구 도곡로43길 21,11,아파트,래미안그레이튼2차,1168010100107620003,22,도곡로43길21,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.047072033685,37.4957605596863
334,30583401,02,B551452,Off,C,서울특별시 은평구 불광로14길 10-4,11,아파트,북한산힐스테이트3차(불광3),1138010300106400000,147,불광로14길10-4,FLE00006326,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.934021540005,37.6197660018114
335,30583408,02,B551452,Off,C,서울특별시 동대문구 전농로16길 51,11,아파트,래미안아름숲(전농6),1123010400106880000,148,전농로16길51,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.060359288023,37.5783814731705
336,30583417,02,B551452,Off,C,서울특별시 성동구 고산자로 175,11,아파트,서울숲행당푸르지오(행당5),1120010700103760001,94,고산자로175,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.033356936491,37.556044109734
337,30583422,02,B551452,Off,C,서울특별시 강북구 삼양로27길 95,11,아파트,미아두산위브트레지움(미아8),1130510100108110000,234,삼양로27길95,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.016116557403,37.6185764003502
338,30583424,02,B551452,Off,C,서울특별시 동작구 노량진로23가길 23,11,아파트,래미안트윈파크(본동5),1159010400104940000,91,노량진로23가길23,FLE00006446,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.950712952517,37.5147086273909
339,30583442,02,B551452,Off,C,서울특별시 강서구 양천로55길 55,11,아파트,강서한강자이,1150010400115000000,73,양천로55길55,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.849520211239,37.5661208456234
340,30583445,02,B551452,Off,C,서울특별시 도봉구 우이천로 367,11,아파트,북한산코오롱하늘채(쌍문1),1132010500103640001,50,우이천로367,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,null,null
341,30582287,02,B551452,Off,C,서울특별시 양천구 신정로7길 70,11,아파트,신정푸른마을1단지,1147010100112820000,500,신정로7길70,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.835352249021,37.5128410750872
342,30582289,02,B551452,Off,C,서울특별시 마포구 월드컵북로47길 8,11,아파트,상암월드컵1단지,1144012700116340000,820,월드컵북로47길8,FLE00006723,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.894058621654,37.575248843688
343,30582291,02,B551452,Off,C,서울특별시 마포구 월드컵로42길 12,11,아파트,상암3-8단지(임대),1144012700116740000,840,월드컵로42길12,FLE00006725,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.882032372393,37.5781156298382
344,30583260,02,B551452,Off,C,서울특별시 성동구 무학로 50,11,아파트,청계벽산(하왕3),1120010200102580000,510,무학로50,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.030751920577,37.5693995459119
345,30583255,02,B551452,Off,C,서울특별시 동작구 상도로 407,11,아파트,상도삼호(상도5),1159010200104080000,221,상도로407,FLE00006447,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.956232792329,37.4937700142399
346,30583269,02,B551452,Off,C,서울특별시 구로구 고척로 49,11,아파트,오류동부골든(오류1),1153010800103380000,304,고척로49,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.840377279425,37.4989167030025
347,30583292,02,B551452,Off,C,서울특별시 노원구 덕릉로94가길 41,11,아파트,상계불암대림(상계7),1135010500112900000,206,덕릉로94가길41,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.078224781935,37.6641439486087
348,30583297,02,B551452,Off,C,서울특별시 강동구 천호대로 1055,11,아파트,천호태영(천호6),1174010900105660000,264,천호대로1055,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.130651522431,37.5379348753815
349,30583298,02,B551452,Off,C,서울특별시 종로구 통일로 246-11,11,아파트,무악현대(무악1),1111018700100830000,550,통일로246-11,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.958610069777,37.574822475562
350,30583300,02,B551452,Off,C,서울특별시 중구 청구로1길 23,11,아파트,신당삼성(신당5),1114016200108430000,440,청구로1길23,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.016704125763,37.5584043464133
351,30583311,02,B551452,Off,C,서울특별시 동대문구 회기로8길 20,11,아파트,제기한신(제기2),1123010300112120001,260,회기로8길20,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.040178679767,37.5905980459797
352,30583329,02,B551452,Off,C,서울특별시 강북구 솔샘로 159,11,아파트,미아벽산(미아1-2),1130510100113540000,490,솔샘로159,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.012860367325,37.6216218640382
353,30583338,02,B551452,Off,C,서울특별시 강북구 솔샘로 174,11,아파트,SK북한산시티(미아1-1),1130510100113530000,1497,솔샘로174,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.012106977632,37.6199312176767
354,30583343,02,B551452,Off,C,서울특별시 양천구 신목로 10,11,아파트,목동현대B,1147010100112790001,564,신목로10,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.876228180266,37.5178354729387
355,30583348,02,B551452,Off,C,서울특별시 관악구 양녕로 117,11,아파트,관악벽산블루밍,1162010100117180001,799,양녕로117,FLE00006413,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.943307776526,37.4918843991907
356,30583352,02,B551452,Off,C,서울특별시 성북구 종암로9길 71,11,아파트,종암SH-Ville,1129013500101310000,104,종암로9길71,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.032489633835,37.5972221608632
357,30583357,02,B551452,Off,C,서울특별시 성북구 회기로5길 142,11,아파트,월곡2 SH-ville(월곡2),1129013600102260001,209,회기로5길142,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.041328738426,37.597640369228
358,30583365,02,B551452,Off,C,서울특별시 중구 청계천로 400,11,아파트,황학롯데캐슬(황학),1114016500125450000,336,청계천로400,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.021769650428,37.5715295977448
359,30583370,02,B551452,Off,C,서울특별시 마포구 모래내로9길 3,11,아파트,월드컵아이파크2차(임대),1144012500106660000,6,모래내로9길3,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.913364550652,37.5668986821896
360,30583380,02,B551452,Off,C,서울특별시 동대문구 정릉천동로 16,11,아파트,용두두산위브,1123010200107910000,95,정릉천동로16,XXX,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,127.035259358499,37.5736226698585
361,30582363,02,B551452,Off,C,서울특별시 양천구 신정이펜1로 27,11,아파트,신정이펜하우스5단지,1147010100113180000,17,신정이펜1로27,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.832968933751,37.5109095519571
362,30582363,02,B551452,Off,C,서울특별시 양천구 신정이펜1로 27,11,아파트,신정이펜하우스5단지,1147010100113180000,137,신정이펜1로27,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.832968933751,37.5109095519571
363,30582369,02,B551452,Off,C,서울특별시 서초구 태봉로2길 30,11,아파트,서초네이처힐6단지,1165010300107370000,183,태봉로2길30,FLE00006698,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,127.026033249321,37.461632175115
364,30582372,02,B551452,Off,C,서울특별시 강남구 헌릉로590길 11,11,아파트,세곡리엔파크3단지,1168011100105160000,172,헌릉로590길11,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.103767787828,37.464176295727
365,30582375,02,B551452,Off,C,서울특별시 은평구 진관1로 55,11,아파트,"마고정3-1단지(은평2-11,임대)",1138011400101060000,103,진관1로55,FLE00006251,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.926227040069,37.631814942058
366,30582381,02,B551452,Off,C,서울특별시 서초구 태봉로2길 10,11,아파트,서초네이처힐7단지,1165010300107350000,179,태봉로2길10,FLE00006437,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,127.023606166163,37.4620007411301
367,30582394,02,B551452,Off,C,서울특별시 강서구 마곡서1로 132,11,아파트,마곡지구 3단지(임대),1150010500107360000,92,마곡서1로132,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.819567923651,37.5681441189582
368,30582416,02,B551452,Off,C,서울특별시 마포구 숭문길 106,11,아파트,염리상록(임대),1144010900105150001,178,숭문길106,FLE00006714,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.946686844161,37.5510116725227
369,30582418,02,B551452,Off,C,서울특별시 관악구 양녕로6나길 18,11,아파트,봉천신봉(임대),1162010100117050000,150,양녕로6나길18,FLE00006408,03,50년임대,SH공사,http://www.i-sh.co.kr,Y,126.949432014952,37.4851322863788
370,30582428,02,B551452,Off,C,서울특별시 양천구 신월로27길 12,11,아파트,동원데자뷰,null,9,12,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,null,null
371,30582299,02,B551452,Off,C,서울특별시 강동구 아리수로94길 19,11,아파트,강일지구6단지(임대),1174011000106840000,226,아리수로94길19,XXX,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,127.175850838607,37.564041054222
372,30582437,02,B551452,Off,C,서울특별시 강남구 압구정로2길 20,11,아파트,신사삼지래미안(임대),1168010700105060009,3,압구정로2길20,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.019752995157,37.5202470286695
373,30582309,02,B551452,Off,C,서울특별시 은평구 진관4로 107,11,아파트,"상림마을6-3단지(은평1-6,임대)",1138011400100010000,19,진관4로107,FLE00006264,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,126.930841514341,37.6488830840691
374,30582315,02,B551452,Off,C,서울특별시 은평구 진관3로 70,11,아파트,"상림마을8-3단지(은평1-12,임대)",1138011400100200000,172,진관3로70,FLE00006277,02,국민임대,SH공사,http://www.i-sh.co.kr,Y,126.921867754689,37.6414672786014
375,30582316,02,B551452,Off,C,서울특별시 송파구 충민로 188,11,아파트,장지지구1단지(임대),1171010900108330000,46,충민로188,XXX,07,장기전세,SH공사,http://www.i-sh.co.kr,Y,127.134195559225,37.4863181874773
