rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
346,31261284,01,D168525,Off,B,경상남도 김해시 진영읍 진영산복로 20,11,아파트,경상남도 김해시,4825025026118810000,1,진영산복로20,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.72049015912,35.3033736740425
347,31261303,01,D168525,Off,B,경상남도 김해시 가야로 19,11,아파트,매입다가구(경남김해시),4825010700114100002,1,가야로19,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.862357672092,35.2723665748848
348,31265878,01,D168525,Off,B,경상남도 김해시 진영읍 진영산복로 20,11,아파트,매입다가구(경남김해시),4825025026118810000,1,진영산복로20,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.720577634962,35.3033788983006
349,31265880,01,D168525,Off,B,경상남도 진주시 내동로348번길 10,11,아파트,경상남도 진주시,4817013100105730001,1,내동로348번길10,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.102178095591,35.1495754305313
350,31265881,01,D168525,Off,B,경상남도 진주시 금산면 덕의길 11,11,아파트,매입다가구(경남진주시),4817041027109640001,1,덕의길11,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.146940830505,35.2183420359148
351,31265889,01,D168525,Off,B,경상남도 진주시 공단로 30,11,아파트,매입다가구(경남진주시),4817012100110680001,1,공단로30,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.102668157646,35.1747576892383
352,31261198,01,D168525,Off,B,경상남도 김해시 덕정로 108,11,아파트,매입다가구(경남김해시),4825013000104520001,1,덕정로108,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.797073300302,35.1795808934858
353,31261203,01,D168525,Off,B,경상남도 김해시 진영읍 김해대로332번길 79,11,아파트,매입다가구(경남김해시),4825025026118830000,1,김해대로332번길79,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.721229054018,35.3054364270935
354,31261227,01,D168525,Off,B,경상남도 진주시 문산읍 월아산로1048번길 15,11,아파트,경상남도 진주시,4817025023112240000,1,월아산로1048번길15,XXX,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.166306747832,35.1649083946684
355,31280946,01,D168525,Off,C,경상남도 의령군 의령읍 행복로 23,11,아파트,의령동동 5블록,4872025023115580000,196,행복로23,XXX,09,행복주택,LH경남,http://www.lh.or.kr,Y,128.271180225789,35.3209364003206
356,31267333,01,D168525,Off,B,경상남도 창원시 의창구 북면 감계로 233,11,아파트,매입다가구(경남창원시),4812131028102250001,1,감계로233,FLE00020539,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.586030198593,35.3022524145096
357,31325831,01,D168525,Off,B,경상남도 창원시 의창구 북면 감계로 233,11,아파트,경상남도 창원시,4812131028102250001,1,감계로233,FLE00022693,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.586030198593,35.3022524145096
358,31325843,01,D168525,Off,B,경상남도 창원시 성산구 정동로162번길 78,11,아파트,경상남도 창원시,4812310600106010026,1,정동로162번길78,FLE00022702,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.69838944779,35.200773269388
359,31325844,01,D168525,Off,B,경상남도 창원시 성산구 정동로162번길 78,11,아파트,경상남도 창원시,4812310600106010026,1,정동로162번길78,FLE00022696,04,매입임대,LH경남,http://www.lh.or.kr,Y,128.69838944779,35.200773269388
