0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
장신휴먼시아2단지,국민임대,전라북도 익산시 오산면 선화로4길 24-9,2010-10-06,566,아파트,복도식,지역난방,전체동 설치,LH전북,46.9㎡,22.84㎡,"21,628,000원","132,160원","14,000,000원"
선변오지오아파트,10년임대,전라북도 전주시 덕진구 석소2길 30,2009-02,1,아파트,계단식,개별가스난방,전체동 설치,LH전북,84.90㎡,24.30㎡,0원,0원,0원
전주신세계블루타운,국민임대,전라북도 전주시 완산구 흑석로 64,1997-03-21,39,아파트,복도식,개별가스난방,전체동 설치,LH전북,38.88㎡,11.40㎡,"6,740,000원","57,410원",0원
전주신세계블루타운,국민임대,전라북도 전주시 완산구 흑석로 64,1997-03-21,39,아파트,복도식,개별가스난방,전체동 설치,LH전북,25.74㎡,7.55㎡,"4,243,000원","36,180원",0원
전주신세계블루타운,국민임대,전라북도 전주시 완산구 흑석로 64,1997-03-21,39,아파트,복도식,개별가스난방,전체동 설치,LH전북,27.36㎡,8.02㎡,"4,492,000원","38,670원",0원
대상아파트,국민임대,전라북도 군산시 옥산면 산성로 194,1999-11-13,96,아파트,복도식,개별가스난방,전체동 설치,LH전북,36.63㎡,8.05㎡,"4,796,000원","38,350원",0원
익산배산 휴먼시아5단지,국민임대,전라북도 익산시 선화로1길 57-32,2010-08-25,648,아파트,혼합식,지역가스난방,전체동 설치,LH전북,51.66㎡,23.67㎡,"26,014,000원","148,630원","17,000,000원"
익산배산 휴먼시아5단지,국민임대,전라북도 익산시 선화로1길 57-32,2010-08-25,648,아파트,혼합식,지역가스난방,전체동 설치,LH전북,33.52㎡,15.36㎡,"11,147,000원","92,900원","6,000,000원"
익산배산 휴먼시아5단지,국민임대,전라북도 익산시 선화로1길 57-32,2010-08-25,648,아파트,혼합식,지역가스난방,전체동 설치,LH전북,39.73㎡,18.21㎡,"14,863,000원","111,470원","10,000,000원"
익산배산 휴먼시아5단지,국민임대,전라북도 익산시 선화로1길 57-32,2010-08-25,648,아파트,혼합식,지역가스난방,전체동 설치,LH전북,39.84㎡,18.26㎡,"14,863,000원","111,470원","10,000,000원"
평화주공1단지,영구임대,전라북도 전주시 완산구 덕적골2길 25,1991-10-15,882,아파트,복도식,중앙가스난방,전체동 설치,LH전북,26.37㎡,13.51㎡,"4,032,000원","74,860원","20,000,000원"
전북혁신 엘에이치 10단지,국민임대,전라북도 완주군 이서면 갈산1로 12,,690,아파트,복도식,개별가스난방,전체동 설치,LH전북,51.68㎡,27.21㎡,"22,407,000원","273,260원","32,000,000원"
전북혁신 엘에이치 10단지,국민임대,전라북도 완주군 이서면 갈산1로 12,,690,아파트,복도식,개별가스난방,전체동 설치,LH전북,29.85㎡,15.71㎡,"7,869,000원","120,230원","12,000,000원"
전북혁신 엘에이치 10단지,국민임대,전라북도 완주군 이서면 갈산1로 12,,690,아파트,복도식,개별가스난방,전체동 설치,LH전북,29.9㎡,15.74㎡,"7,869,000원","120,230원","12,000,000원"
전북혁신 엘에이치 10단지,국민임대,전라북도 완주군 이서면 갈산1로 12,,690,아파트,복도식,개별가스난방,전체동 설치,LH전북,46.93㎡,24.71㎡,"17,051,000원","213,140원","25,000,000원"
평화주공 푸른마을,국민임대,전라북도 전주시 완산구 평화9길 16,2003-04-09,686,아파트,계단식,개별가스난방,전체동 설치,LH전북,51.74㎡,20.82㎡,"19,015,000원","95,060원","7,000,000원"
평화주공 푸른마을,국민임대,전라북도 전주시 완산구 평화9길 16,2003-04-09,686,아파트,계단식,개별가스난방,전체동 설치,LH전북,51.49㎡,20.72㎡,"19,015,000원","95,060원","7,000,000원"
대야보라무지개아파트,국민임대,전라북도 군산시 대야면 수림로 7-10,2001-09-28,10,아파트,계단식,개별가스난방,전체동 설치,LH전북,58.24㎡,17.88㎡,"18,468,000원","109,650원",0원
완주봉동주공1차아파트,국민임대,전라북도 완주군 봉동읍 봉동중앙로 53-20,2007-10-11,498,아파트,복도식,개별가스난방,전체동 설치,LH전북,51.93㎡,25.11㎡,"20,122,000원","132,400원",0원
완주봉동주공1차아파트,국민임대,전라북도 완주군 봉동읍 봉동중앙로 53-20,2007-10-11,498,아파트,복도식,개별가스난방,전체동 설치,LH전북,39.72㎡,19.20㎡,"14,798,000원","99,940원",0원
완주봉동주공1차아파트,국민임대,전라북도 완주군 봉동읍 봉동중앙로 53-20,2007-10-11,498,아파트,복도식,개별가스난방,전체동 설치,LH전북,46.9㎡,22.67㎡,"17,395,000원","119,400원",0원
화산신동아,국민임대,전라북도 전주시 완산구 신촌2길 30,1998-11-30,10,아파트,복도식,개별가스난방,전체동 설치,LH전북,39.91㎡,11.45㎡,"11,695,000원","111,490원",0원
화산신동아,국민임대,전라북도 전주시 완산구 신촌2길 30,1998-11-30,10,아파트,복도식,개별가스난방,전체동 설치,LH전북,31.68㎡,9.09㎡,"7,290,000원","89,630원",0원
화산신동아,국민임대,전라북도 전주시 완산구 신촌2길 30,1998-11-30,10,아파트,복도식,개별가스난방,전체동 설치,LH전북,36.57㎡,10.49㎡,"7,810,000원","109,300원",0원
화산신동아,국민임대,전라북도 전주시 완산구 신촌2길 30,1998-11-30,10,아파트,복도식,개별가스난방,전체동 설치,LH전북,37.74㎡,10.82㎡,"9,290,000원","109,300원",0원
전주반월(2)지구 국민임대,국민임대,전라북도 전주시 덕진구 혁신로 665,2019-02-28,546,아파트,,,,LH전북,46.16㎡,24.66㎡,"27,000,000원","205,000원","22,000,000원"
전주반월(2)지구 국민임대,국민임대,전라북도 전주시 덕진구 혁신로 665,2019-02-28,546,아파트,,,,LH전북,26.82㎡,14.33㎡,"9,000,000원","106,000원","9,000,000원"
전주반월(2)지구 국민임대,국민임대,전라북도 전주시 덕진구 혁신로 665,2019-02-28,546,아파트,,,,LH전북,26.83㎡,14.33㎡,"9,000,000원","106,000원","9,000,000원"
전주반월(2)지구 국민임대,국민임대,전라북도 전주시 덕진구 혁신로 665,2019-02-28,546,아파트,,,,LH전북,37.01㎡,19.77㎡,"18,000,000원","150,000원","16,000,000원"
전주반월(2)지구 국민임대,국민임대,전라북도 전주시 덕진구 혁신로 665,2019-02-28,546,아파트,,,,LH전북,37.17㎡,19.86㎡,"18,000,000원","150,000원","16,000,000원"
장계 에코르,10년임대,전라북도 장수군 장계면 북동로 61-6,2018-11-19,100,아파트,계단식,개별난방,전체동 설치,전북개발공사,59.45㎡,23.70㎡,"76,293,000원","82,000원",0원
장계 에코르,10년임대,전라북도 장수군 장계면 북동로 61-6,2018-11-19,100,아파트,계단식,개별난방,전체동 설치,전북개발공사,59.44㎡,21.61㎡,"72,882,000원","82,000원",0원
완주삼봉 1단지 LH아파트,영구임대,전라북도 완주군 삼례읍 삼봉5로 60,2019-11-14,175,아파트,복도식,,,LH전북,24.97㎡,14.38㎡,"10,860,000원","101,180원","12,000,000원"
군산신역세권 B3블록,10년임대,전라북도 군산시 내정로 27,2020-09-01,1,아파트,,,,LH전북,74.82㎡,21.98㎡,"37,500,000원","350,000원","35,000,000원"
군산신역세권 B3블록,10년임대,전라북도 군산시 내정로 27,2020-09-01,2,아파트,,,,LH전북,84.74㎡,24.89㎡,"43,000,000원","400,000원","45,000,000원"
군산신역세권 B3블록,10년임대,전라북도 군산시 내정로 27,2020-09-01,2,아파트,,,,LH전북,84.63㎡,24.86㎡,"43,000,000원","400,000원","45,000,000원"
군산신역세권 B3블록,10년임대,전라북도 군산시 내정로 27,2020-09-01,2,아파트,,,,LH전북,84.74㎡,24.89㎡,"43,000,000원","400,000원","45,000,000원"
산북부향하나로4차,국민임대,전라북도 군산시 칠성안4길 39,1997-12-27,290,아파트,복도식,개별가스난방,전체동 설치,LH전북,39.08㎡,9.28㎡,"8,394,000원","79,140원",0원
산북부향하나로4차,국민임대,전라북도 군산시 칠성안4길 39,1997-12-27,290,아파트,복도식,개별가스난방,전체동 설치,LH전북,30.26㎡,7.18㎡,"3,600,000원","61,150원",0원
군산미장 휴먼시아,국민임대,전라북도 군산시 경포천로 34,2011-06-02,"1,349",아파트,혼합식,개별가스난방,전체동 설치,LH전북,59.89㎡,25.55㎡,"33,475,000원","184,680원","22,000,000원"
군산미장 휴먼시아,국민임대,전라북도 군산시 경포천로 34,2011-06-02,"1,349",아파트,혼합식,개별가스난방,전체동 설치,LH전북,29.91㎡,13.22㎡,"10,273,000원","92,330원","6,000,000원"
