rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
26,31128852,01,D168464,Off,D,전라남도 무안군 삼향읍 남악5로22번길 60,11,아파트,무안남악경남아너스빌,4684025622118630000,2,남악5로22번길60,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.47541140838,34.8097135777423
27,31128797,01,D168464,Off,D,전라남도 목포시 삼학로 363,11,아파트,목포신안인스빌,4611015900101260000,4,삼학로363,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.408755744937,34.8032141394364
28,31297420,01,D168464,Off,C,전라남도 장성군 삼계면 영장로 1589,11,아파트,장성삼계LH1단지,4688035021107620000,30,영장로1589,XXX,01,영구임대,LH광주전남,http://www.lh.or.kr,Y,null,null
29,30699754,01,D168464,Off,D,전라남도 순천시 둑실5길 25,11,아파트,순천금강메트로빌아파트,4615011100105660000,8,둑실5길25,FLE00005046,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,127.497636227724,34.9580830039259
30,30699747,01,D168464,Off,D,전라남도 장성군 장성읍 오동촌길 16,11,아파트,부강1차아파트,4688025024108450001,10,오동촌길16,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.79123728349,35.3038517359376
31,30700414,01,D168464,Off,C,전라남도 해남군 해남읍 교육청길 41,11,아파트,해남해리아파트,4682025021106950000,304,교육청길41,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.609306439765,34.5674815028642
32,30700308,01,D168464,Off,D,전라남도 나주시 대호길 76-8,11,아파트,나주1차대방노블랜드,4617011600110200000,66,대호길76-8,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.718199662002,35.0432279331476
33,30699660,01,D168464,Off,D,전라남도 장성군 장성읍 수산길 14,11,아파트,장성 부강2차아파트,4688025023114220000,6,수산길14,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.799319389281,35.32200530986
34,30699679,01,D168464,Off,D,전라남도 순천시 석현북길 40,11,아파트,순천향림세미텔,4615010800108950008,40,석현북길40,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.474001593279,34.9742954752933
35,31042857,01,D168464,Off,D,전라남도 나주시 대호길 76-8,11,아파트,나주대방노블랜드1차아파트,4617011600110200000,3,대호길76-8,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.718199662002,35.0432279331476
36,31128766,01,D168464,Off,D,전라남도 무안군 삼향읍 남악영산길 39,11,아파트,무안남악신동아파밀리에,4684025622115920000,7,남악영산길39,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.476436869148,34.8129056752404
37,31178107,01,D168464,Off,C,전라남도 함평군 대동면 영수길 367,11,아파트,함평향교(국민+영구),4686035026114280000,56,영수길367,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.529361555359,35.0677042314273
38,31297367,01,D168464,Off,C,전라남도 여수시 관문1길 14,11,아파트,여수관문 행복주택,4613010400102510002,200,관문1길14,FLE00021899,09,행복주택,LH광주전남,http://www.lh.or.kr,Y,127.741812639196,34.7417681286028
39,30700150,01,D168464,Off,C,전라남도 목포시 포미로 22,11,아파트,포미타운주공2단지,4611015900109750000,980,포미로22,FLE00006480,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.397807839914,34.8180633111104
40,30700347,01,D168464,Off,C,전라남도 영암군 삼호읍 삼호중앙로 222,11,아파트,영암용앙휴먼시아2단지,4683025326117390000,462,삼호중앙로222,FLE00004927,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.475164038242,34.7456235051602
41,30700371,01,D168464,Off,C,전라남도 장흥군 장흥읍 북부로 3,11,아파트,장흥건산휴먼시아2단지,4680025037108100000,318,북부로3,FLE00005064,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.903463521659,34.6836847143472
42,30699726,01,D168464,Off,D,전라남도 장흥군 장흥읍 장흥대로 3492,11,아파트,장흥계명아파트,4680025037107670000,83,장흥대로3492,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.905895401472,34.6751184479687
43,30699752,01,D168464,Off,D,전라남도 영암군 삼호읍 세가래1길 17,11,아파트,영암 삼호종원,4683025326102220009,7,세가래1길17,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.474455818808,34.7479660814074
44,30699554,01,D168464,Off,C,전라남도 광양시 진등6길 31,11,아파트,마동주공아파트,4623010700110300000,270,진등6길31,FLE00004732,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.689436500063,34.956191562381
45,30700236,01,D168464,Off,C,전라남도 장성군 장성읍 문화로 23,11,아파트,영천주공아파트,4688025024116540000,330,문화로23,FLE00006471,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.775595429169,35.2987737326129
46,30700154,01,D168464,Off,C,전라남도 여수시 소호4길 45,11,아파트,소호주공아파트,4613013100103520001,476,소호4길45,FLE00005145,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.649284650815,34.7471536693347
47,30700155,01,D168464,Off,C,전라남도 여수시 여문2로 11,11,아파트,주공아파트,4613012000107970000,1403,여문2로11,FLE00006484,01,영구임대,LH광주전남,http://www.lh.or.kr,Y,127.69362552572,34.7494612957458
48,30853198,01,D168464,Off,C,전라남도 나주시 월정3길 17,11,아파트,광주전남혁신(A-3BL) 5단지,4617013400108210000,874,월정3길17,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.792387624998,35.0118692593624
49,31103742,01,D168464,Off,C,전라남도 순천시 서면 선평동선길 36,11,아파트,순천선평3(국민+영구),4615032028110920000,284,선평동선길36,XXX,01,영구임대,LH광주전남,http://www.lh.or.kr,Y,127.497940785108,34.9874382502817
50,31128671,01,D168464,Off,D,전라남도 무안군 삼향읍 남악영산길 39,11,아파트,무안남악신동아파밀리에,4684025622115920000,1,남악영산길39,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.476436869148,34.8129056752404
51,30699717,01,D168464,Off,D,전라남도 해남군 해남읍 북부순환로 6,11,아파트,해남백두1차,4682025021101590001,76,북부순환로6,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.609847706171,34.5714133308912
52,30700235,01,D168464,Off,C,전라남도 담양군 담양읍 미리산길 34,11,아파트,담양백동주공아파트,4671025025101910000,262,미리산길34,FLE00005198,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.986401391632,35.3111347133159
53,31120132,01,D168464,Off,D,전라남도 광양시 광양읍 용강1길 12,11,아파트,창덕에버빌아파트,4623025030108930000,1,용강1길12,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,127.609575394051,34.9739033736296
54,30699718,01,D168464,Off,D,전라남도 해남군 해남읍 명문길 9,11,아파트,해남백두2차,4682025027102190000,61,명문길9,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.59664473051,34.5760362842504
55,30699759,01,D168464,Off,D,전라남도 광양시 광양읍 용강1길 12,11,아파트,창덕에버빌아파트,4623025030108930000,262,용강1길12,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.609575394051,34.9739033736296
56,30699774,01,D168464,Off,C,전라남도 영광군 영광읍 물무로 227,11,아파트,영광도동휴먼시아,4687025024103600000,531,물무로227,FLE00004921,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.515326178368,35.2696953407753
57,30699778,01,D168464,Off,C,전라남도 무안군 삼향읍 남악4로34번길 7,11,아파트,무안남악휴먼시아3단지,4684025622123110000,385,남악4로34번길7,FLE00004911,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.466939645823,34.8092175690591
58,30699803,01,D168464,Off,D,전라남도 강진군 강진읍 서성1길 21,11,아파트,강진건우2차아파트,4681025023100950000,189,서성1길21,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,126.763502428953,34.6373921738623
59,30700309,01,D168464,Off,C,전라남도 여수시 소라면 죽림로 38,11,아파트,여수죽림휴먼시아2차,4613031022111230000,775,죽림로38,FLE00004919,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.639989760072,34.7644479325577
60,30699668,01,D168464,Off,D,전라남도 순천시 가곡길 257-15,11,아파트,순천아이탑빌,4615010900109840001,47,가곡길257-15,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.48140660958,34.9771207982096
61,30700148,01,D168464,Off,C,전라남도 목포시 상동로 64,11,아파트,주공3단지아파트,4611015800107400000,1074,상동로64,XXX,01,영구임대,LH광주전남,http://www.lh.or.kr,Y,126.413114257875,34.8150259789721
62,30700158,01,D168464,Off,C,전라남도 여수시 무선2길 39,11,아파트,무선주공아파트,4613013700107400000,298,무선2길39,FLE00004915,01,영구임대,LH광주전남,http://www.lh.or.kr,Y,127.649832710091,34.7720192470637
63,30705756,01,D168464,Off,D,전라남도 순천시 가곡길 163,11,아파트,드라마시티 목련마을,4615010900109800007,126,가곡길163,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.48127043017,34.9788539701924
64,30700237,01,D168464,Off,C,전라남도 무안군 삼향읍 남악2로74번길 13,11,아파트,무안남악오룡마을,4684025622120720000,12,남악2로74번길13,FLE00004913,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.456365309043,34.8123083414979
65,31103742,01,D168464,Off,C,전라남도 순천시 서면 선평동선길 36,11,아파트,순천선평3(국민+영구),4615032028110920000,536,선평동선길36,XXX,02,국민임대,LH광주전남,http://www.lh.or.kr,Y,127.497940785108,34.9874382502817
66,31120111,01,D168464,Off,D,전라남도 광양시 광양읍 용강1길 12,11,아파트,창덕에버빌아파트,4623025030108930000,2,용강1길12,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,127.609575394051,34.9739033736296
67,31120133,01,D168464,Off,D,전라남도 광양시 광양읍 용강1길 12,11,아파트,창덕에버빌아파트,4623025030108930000,4,용강1길12,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,127.609575394051,34.9739033736296
68,31120142,01,D168464,Off,D,전라남도 광양시 광양읍 용강1길 12,11,아파트,창덕에버빌아파트,4623025030108930000,3,용강1길12,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,127.609575394051,34.9739033736296
69,31128850,01,D168464,Off,D,전라남도 목포시 삼학로 363,11,아파트,목포신안인스빌,4611015900101260000,1,삼학로363,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.408755744937,34.8032141394364
70,31128743,01,D168464,Off,D,전라남도 무안군 삼향읍 남악영산길 39,11,아파트,무안남악신동아파밀리에,4684025622115920000,1,남악영산길39,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.476436869148,34.8129056752404
71,31128765,01,D168464,Off,D,전라남도 무안군 삼향읍 남악영산길 39,11,아파트,무안남악신동아파밀리에,4684025622115920000,3,남악영산길39,XXX,05,10년임대,LH광주전남,http://www.lh.or.kr,Y,126.476436869148,34.8129056752404
