rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
274,30700335,01,D168483,Off,C,전라북도 익산시 함열읍 함열5길 28,11,아파트,익산함열 휴먼시아1단지,4514025021115390000,540,함열5길28,FLE00005190,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.962947352783,36.0761758061157
275,31128757,01,D168483,Off,D,전라북도 전주시 덕진구 석소2길 30,11,아파트,선변오지오아파트,4511311400108690000,16,석소2길30,XXX,05,10년임대,LH전북,http://www.lh.or.kr,Y,127.168831637162,35.8355015097138
276,31128785,01,D168483,Off,D,전라북도 전주시 덕진구 석소2길 30,11,아파트,선변오지오아파트,4511311400108690000,18,석소2길30,XXX,05,10년임대,LH전북,http://www.lh.or.kr,Y,127.168831637162,35.8355015097138
277,31270680,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름2길 9,11,아파트,매입다가구(전북전주시),4511312300112310000,1,쪽구름2길9,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.075747963782,35.8737845738138
278,31270684,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름2길 9,11,아파트,매입다가구(전북전주시),4511312300112310000,1,쪽구름2길9,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.075747963782,35.8737845738138
279,31270700,01,D168483,Off,B,전라북도 전주시 덕진구 백동2길 11,11,아파트,매입다가구(전북전주시),4511310400115610001,1,백동2길11,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.147833996485,35.8462690960599
280,31270703,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름2길 9,11,아파트,매입다가구(전북전주시),4511312300112310000,1,쪽구름2길9,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.075747963782,35.8737845738138
281,31270714,01,D168483,Off,B,전라북도 전주시 덕진구 태진로 125-30,11,아파트,매입다가구(전북전주시),4511310700116390001,1,태진로125-30,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.133907709631,35.8332959666461
282,31270755,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름2길 9,11,아파트,전라북도 전주시,4511312300112310000,1,쪽구름2길9,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.075747963782,35.8737845738138
283,31270770,01,D168483,Off,B,전라북도 전주시 완산구 구이로 2065,11,아파트,전라북도 전주시,4511113300109520000,1,구이로2065,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.129706858187,35.7823693550531
284,31270213,01,D168483,Off,B,전라북도 정읍시 중앙로 55,11,아파트,매입다가구(전북정읍시),4518010500106330000,1,중앙로55,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.847829593293,35.5716633078082
285,31270232,01,D168483,Off,B,전라북도 정읍시 중앙로 55,11,아파트,매입다가구(전북정읍시),4518010500106330000,1,중앙로55,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.847829593293,35.5716633078082
286,31270239,01,D168483,Off,B,전라북도 정읍시 천변로 394-16,11,아파트,매입다가구(전북정읍시),4518010400110120000,1,천변로394-16,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.867368610587,35.5539299296113
287,31270487,01,D168483,Off,B,전라북도 익산시 부송1로 120-11,11,아파트,전라북도 익산시,4514013400112150000,1,부송1로120-11,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.995591037504,35.957352092001
288,31273669,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름로 111,11,아파트,매입다가구(전북전주시),4511312300112320000,1,쪽구름로111,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.07321070017,35.8738232904716
289,31273670,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름로 111,11,아파트,매입다가구(전북전주시),4511312300112320000,1,쪽구름로111,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.07321070017,35.8738232904716
290,31273674,01,D168483,Off,B,전라북도 전주시 완산구 양지3길 25,11,아파트,전라북도 전주시,4511113300109530000,1,양지3길25,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.118512769013,35.7896594119416
291,31273681,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,전라북도 전주시,4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
292,31273683,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름로 111,11,아파트,매입다가구(전북전주시),4511312300112320000,1,쪽구름로111,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.07321070017,35.8738232904716
293,31273692,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
294,31273705,01,D168483,Off,B,전라북도 전주시 완산구 양지3길 25,11,아파트,매입다가구(전북전주시),4511113300109530000,1,양지3길25,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.118512769013,35.7896594119416
295,31278840,01,D168483,Off,C,전라북도 완주군 삼례읍 삼봉5로 60,11,아파트,완주삼봉 1단지 LH아파트,4571025029108580000,545,삼봉5로60,FLE00021129,09,행복주택,LH전북,http://www.lh.or.kr,Y,127.115632659267,35.9229506702439
296,30699723,01,D168483,Off,D,전라북도 군산시 신평길 12,11,아파트,동영임대아파트,4513014100106560000,230,신평길12,XXX,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.713119060393,35.9560654203258
297,31270756,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름2길 9,11,아파트,매입다가구(전북전주시),4511312300112310000,1,쪽구름2길9,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.075747963782,35.8737845738138
298,31270233,01,D168483,Off,B,전라북도 정읍시 중앙로 55,11,아파트,매입다가구(전북정읍시),4518010500106330000,1,중앙로55,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,126.847829593293,35.5716633078082
299,30699406,01,D168483,Off,C,전라북도 익산시 선화로1길 25-14,11,아파트,익산배산 휴먼시아4단지,4514011500106740000,1414,선화로1길25-14,FLE00004949,02,국민임대,LH전북,http://www.lh.or.kr,Y,126.937009095056,35.9527094600175
300,30700133,01,D168483,Off,C,전라북도 무주군 무주읍 장터로 26,11,아파트,무주남대천휴먼시아,4573025021111900001,303,장터로26,FLE00005175,02,국민임대,LH전북,http://www.lh.or.kr,Y,127.652807472978,36.0063118527186
301,31342532,01,D168483,Off,C,전라북도 군산시 문화로 36,11,아파트,군산나운주공4단지,4513014400100450000,15,문화로36,XXX,01,영구임대,LH전북,http://www.lh.or.kr,Y,126.709551685358,35.9696258766524
