0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
대궁빌라,국민임대,경상북도 포항시 남구 연일읍 동문로40번길 43,2000-04-03,38,아파트,복도식,개별가스난방,미설치,LH대구경북,43.26㎡,15.24㎡,"7,964,000원","56,550원",0원
포항태웅하이츠,국민임대,경상북도 포항시 남구 오천읍 문덕로12번길 23,2002-08-11,6,아파트,계단식,개별가스난방,미설치,LH대구경북,59.99㎡,11.49㎡,"21,302,000원","117,500원","11,000,000원"
포항태웅하이츠,국민임대,경상북도 포항시 남구 오천읍 문덕로12번길 23,2002-08-11,6,아파트,계단식,개별가스난방,미설치,LH대구경북,59.77㎡,11.32㎡,"21,302,000원","117,500원","11,000,000원"
포항보광그린파크,국민임대,경상북도 포항시 남구 오천읍 오어로 303,2000-08-12,174,아파트,혼합식,개별가스난방,미설치,LH대구경북,59.98㎡,13.06㎡,"19,094,000원","105,520원","9,000,000원"
포항보광그린파크,국민임대,경상북도 포항시 남구 오천읍 오어로 303,2000-08-12,174,아파트,혼합식,개별가스난방,미설치,LH대구경북,37.20㎡,8.05㎡,"7,585,000원","41,770원",0원
포항보광그린파크,국민임대,경상북도 포항시 남구 오천읍 오어로 303,2000-08-12,174,아파트,혼합식,개별가스난방,미설치,LH대구경북,59.98㎡,6.53㎡,"19,094,000원","105,520원","9,000,000원"
영주장미마을아파트,국민임대,경상북도 영주시 원당로275번길 31-1,,29,아파트,계단식,개별가스난방,미설치,LH대구경북,59.91㎡,7.14㎡,"14,330,000원","79,140원","3,000,000원"
영주장미마을아파트,국민임대,경상북도 영주시 원당로275번길 31-1,,29,아파트,계단식,개별가스난방,미설치,LH대구경북,59.31㎡,7.14㎡,"14,330,000원","79,140원","3,000,000원"
고령다산휴먼시아 3단지,국민임대,경상북도 고령군 다산면 평리6길 30,2010-11-28,474,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,51.93㎡,22.71㎡,"21,868,000원","123,750원","12,000,000원"
고령다산휴먼시아 3단지,국민임대,경상북도 고령군 다산면 평리6길 30,2010-11-28,474,아파트,혼합식,개별가스난방,전체동 설치,LH대구경북,36.52㎡,15.97㎡,"9,731,000원","72,080원","2,000,000원"
