rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
128,30699382,01,D168011,Off,C,경상북도 경주시 건천읍 대곡용명길 27,11,아파트,경주건천휴먼시아,4713025631106270000,443,대곡용명길27,FLE00005011,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.109016607272,35.8468845172437
129,30700175,01,D168011,Off,C,경상북도 칠곡군 왜관읍 평장7길 11,11,아파트,칠곡왜관주공3단지,4785025021105900000,631,평장7길11,FLE00004805,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.412475191967,35.9879897539271
130,30705747,01,D168011,Off,D,경상북도 경산시 진량읍 봉황길 53,11,아파트,경산진량우림필유,4729025325101220003,12,봉황길53,FLE00006113,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,128.823949264046,35.8842814407054
131,30705748,01,D168011,Off,D,경상북도 경산시 진량읍 봉황길 53,11,아파트,경산진량우림필유,4729025325101220003,6,봉황길53,FLE00006113,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,128.823949264046,35.8842814407054
132,30705749,01,D168011,Off,D,경상북도 경산시 진량읍 봉황길 53,11,아파트,경산진량우림필유,4729025325101220003,2,봉황길53,FLE00006115,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,128.823949264046,35.8842814407054
133,30700412,01,D168011,Off,C,경상북도 영주시 가흥로 345-27,11,아파트,영주가흥4단지아파트,4721010500120460000,374,가흥로345-27,FLE00004695,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.610031004605,36.8276025503127
134,30699665,01,D168011,Off,C,경상북도 울진군 울진읍 월변2길 56-21,11,아파트,울진읍내휴먼시아,4793025021103700000,280,월변2길56-21,FLE00017550,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.396134694147,36.9912189472401
135,31128826,01,D168011,Off,D,경상북도 포항시 북구 우창동로 157,11,아파트,포항금호어울림,4711311900200920002,14,우창동로157,XXX,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,129.364917316458,36.0619701434857
136,31128855,01,D168011,Off,D,경상북도 구미시 박정희로 236-8,11,아파트,구미화성파크드림,4719011500105030002,10,박정희로236-8,XXX,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,128.355338371972,36.0992580620657
137,31128692,01,D168011,Off,D,경상북도 포항시 남구 중앙로121번길 10,11,아파트,포항보운메트로타워,4711110200100040008,20,중앙로121번길10,XXX,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,129.367337943204,36.0246079595105
138,31243725,01,D168011,Off,B,경상북도 경산시 압량읍 압독2로 45,11,아파트,경상북도 경산시,4729025622104850000,2,압독2로45,XXX,04,매입임대,LH대구경북,http://www.lh.or.kr,Y,128.767568124076,35.840730921652
139,31243742,01,D168011,Off,B,경상북도 경산시 대평길 8,11,아파트,경상북도 경산시,4729011200104630000,1,대평길8,XXX,04,매입임대,LH대구경북,http://www.lh.or.kr,Y,128.731723305932,35.8420864744255
140,31263525,01,D168011,Off,C,경상북도 청송군 진보면 체육공원로 52-11,11,아파트,청송각산 1블록 영구임대,4775037045106220021,20,체육공원로52-11,XXX,01,영구임대,LH대구경북,http://www.lh.or.kr,Y,129.051185305354,36.5309775086693
141,31249180,01,D168011,Off,B,경상북도 경산시 압량읍 압독로 38-10,11,아파트,경상북도 경산시,4729025622107090000,1,압독로38-10,XXX,04,매입임대,LH대구경북,http://www.lh.or.kr,Y,128.768574115948,35.8365538509399
142,31250262,01,D168011,Off,B,경상북도 경산시 압량읍 압독2로 45,11,아파트,경상북도 경산시,4729025622104850000,1,압독2로45,XXX,04,매입임대,LH대구경북,http://www.lh.or.kr,Y,128.767568124076,35.840730921652
143,31297402,01,D168011,Off,C,경상북도 안동시 축제장1길 77,11,아파트,안동운흥 A2블록 행복주택,4717011300102710015,200,축제장1길77,FLE00021973,09,행복주택,LH대구경북,http://www.lh.or.kr,Y,128.729331232389,36.5608053702449
144,30700190,01,D168011,Off,C,경상북도 영천시 충효로 147,11,아파트,영천야사4,4723010300101200000,447,충효로147,FLE00004697,01,영구임대,LH대구경북,http://www.lh.or.kr,Y,128.944526842769,35.9766210063208
145,30700364,01,D168011,Off,C,경상북도 영천시 망정로 80,11,아파트,영천망정휴먼시아5단지,4723010200103780001,603,망정로80,FLE00004696,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.952471001554,35.9833112384776
146,30700396,01,D168011,Off,C,경상북도 영양군 영양읍 영양창수로 93,11,아파트,영양동부아파트,4776025021100940000,200,영양창수로93,FLE00005055,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.124062794512,36.6627370468437
147,30699410,01,D168011,Off,D,경상북도 경주시 안강읍 피일길 86-17,11,아파트,한동화성타운,4713025332113460003,183,피일길86-17,FLE00006090,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,129.183715569666,36.0006161551174
148,30700293,01,D168011,Off,C,경상북도 의성군 의성읍 동서1길 114,11,아파트,의성상리휴먼시아,4773025023107670000,408,동서1길114,FLE00005150,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.706918916121,36.3500244907042
149,30699657,01,D168011,Off,D,경상북도 경산시 진량읍 초원길 53-6,11,아파트,경산초원장미타운아파트,4729025327104030003,3,초원길53-6,FLE00006106,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,128.836839682458,35.892406498296
150,31128691,01,D168011,Off,D,경상북도 포항시 북구 우창동로 157,11,아파트,포항금호어울림,4711311900200920002,22,우창동로157,XXX,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,129.364917316458,36.0619701434857
151,31128773,01,D168011,Off,D,경상북도 구미시 박정희로 236-8,11,아파트,구미화성파크드림,4719011500105030002,4,박정희로236-8,XXX,05,10년임대,LH대구경북,http://www.lh.or.kr,Y,128.355338371972,36.0992580620657
152,31243406,01,D168011,Off,C,경상북도 울릉군 울릉읍 울릉순환로 333,11,아파트,울릉도동LH천년나무,4794025024102400001,72,울릉순환로333,XXX,02,국민임대,LH대구경북,http://www.lh.or.kr,Y,130.90368351352,37.4877421947909
