0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"보성회정(전남,주1) 1단지",국민임대,전라남도 보성군 벌교읍 못골길 12,2014-06-20,368,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,51.79㎡,23.10㎡,"17,556,000원","152,510원","18,000,000원"
"보성회정(전남,주1) 1단지",국민임대,전라남도 보성군 벌교읍 못골길 12,2014-06-20,368,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.8㎡,16.41㎡,"8,458,000원","81,200원","4,000,000원"
"보성회정(전남,주1) 1단지",국민임대,전라남도 보성군 벌교읍 못골길 12,2014-06-20,368,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.52㎡,20.75㎡,"14,264,000원","120,690원","12,000,000원"
나주팔마코이스아파트,국민임대,전라남도 나주시 남평읍 세남로 1546-13,2001-02-09,7,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,59.52㎡,15.62㎡,"22,389,000원","124,380원","12,000,000원"
흥용한고을아파트,국민임대,전라남도 화순군 화순읍 한고을길 12,1999-03-01,54,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,39.78㎡,10.85㎡,"8,289,000원","56,960원",0원
빛가람LH3,10년임대,전라남도 나주시 그린로 154,2014-09-16,812,아파트,계단식,지역난방,전체동 설치,LH광주전남,84.96㎡,26.76㎡,"37,764,000원","590,000원","70,000,000원"
빛가람LH3,10년임대,전라남도 나주시 그린로 154,2014-09-16,812,아파트,계단식,지역난방,전체동 설치,LH광주전남,59.89㎡,18.86㎡,"26,225,000원","450,000원","56,000,000원"
빛가람LH3,10년임대,전라남도 나주시 그린로 154,2014-09-16,812,아파트,계단식,지역난방,전체동 설치,LH광주전남,59.9㎡,18.86㎡,"26,225,000원","450,000원","56,000,000원"
빛가람LH3,10년임대,전라남도 나주시 그린로 154,2014-09-16,812,아파트,계단식,지역난방,전체동 설치,LH광주전남,74.91㎡,23.59㎡,"27,274,000원","535,000원","64,000,000원"
빛가람LH3,10년임대,전라남도 나주시 그린로 154,2014-09-16,812,아파트,계단식,지역난방,전체동 설치,LH광주전남,84.72㎡,26.68㎡,"37,764,000원","590,000원","70,000,000원"
무안성내휴먼시아,국민임대,전라남도 무안군 무안읍 공항로 75-9,2011-05-16,493,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,51.75㎡,26.41㎡,"19,225,000원","146,580원","17,000,000원"
무안성내휴먼시아,국민임대,전라남도 무안군 무안읍 공항로 75-9,2011-05-16,493,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.16㎡,18.45㎡,"9,611,000원","75,690원","3,000,000원"
무안성내휴먼시아,국민임대,전라남도 무안군 무안읍 공항로 75-9,2011-05-16,493,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.38㎡,18.56㎡,"9,611,000원","75,690원","3,000,000원"
무안성내휴먼시아,국민임대,전라남도 무안군 무안읍 공항로 75-9,2011-05-16,493,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.61㎡,23.79㎡,"14,418,000원","120,150원","12,000,000원"
"목포대성(06,주환1) 1단지",10년임대,전라남도 목포시 양을로 42,2015-12-22,540,아파트,계단식,개별가스난방,,LH광주전남,51.97㎡,23.48㎡,"32,416,000원","445,730원","64,000,000원"
"목포대성(06,주환1) 1단지",10년임대,전라남도 목포시 양을로 42,2015-12-22,540,아파트,계단식,개별가스난방,,LH광주전남,39.9㎡,17.90㎡,"18,527,000원","366,930원","52,000,000원"
"목포대성(06,주환1) 1단지",10년임대,전라남도 목포시 양을로 42,2015-12-22,540,아파트,계단식,개별가스난방,,LH광주전남,51.88㎡,23.44㎡,"32,770,000원","448,420원","64,000,000원"
회룡마을주공아파트,국민임대,전라남도 무안군 삼향읍 남악2로74번길 42,2007-09-25,"1,117",아파트,복도식,개별가스난방,전체동 설치,LH광주전남,51.93㎡,24.67㎡,"23,720,000원","159,490원","19,000,000원"
회룡마을주공아파트,국민임대,전라남도 무안군 삼향읍 남악2로74번길 42,2007-09-25,"1,117",아파트,복도식,개별가스난방,전체동 설치,LH광주전남,39.72㎡,18.87㎡,"13,731,000원","96,790원","7,000,000원"
회룡마을주공아파트,국민임대,전라남도 무안군 삼향읍 남악2로74번길 42,2007-09-25,"1,117",아파트,복도식,개별가스난방,전체동 설치,LH광주전남,39.98㎡,18.99㎡,"13,731,000원","96,790원","7,000,000원"
회룡마을주공아파트,국민임대,전라남도 무안군 삼향읍 남악2로74번길 42,2007-09-25,"1,117",아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.59㎡,22.14㎡,"18,726,000원","131,090원","14,000,000원"
회룡마을주공아파트,국민임대,전라남도 무안군 삼향읍 남악2로74번길 42,2007-09-25,"1,117",아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.9㎡,22.28㎡,"18,726,000원","131,090원","14,000,000원"
빛가람6단지,국민임대,전라남도 나주시 월정3길 25,2016-06-01,814,아파트,복도식,지역난방,전체동 설치,LH광주전남,46.93㎡,23.80㎡,"19,355,000원","225,810원","27,000,000원"
빛가람6단지,국민임대,전라남도 나주시 월정3길 25,2016-06-01,814,아파트,복도식,지역난방,전체동 설치,LH광주전남,29.95㎡,15.19㎡,"8,504,000원","123,650원","12,000,000원"
빛가람6단지,국민임대,전라남도 나주시 월정3길 25,2016-06-01,814,아파트,복도식,지역난방,전체동 설치,LH광주전남,36.83㎡,18.68㎡,"10,375,000원","161,290원","19,000,000원"
"담양백동2(07,국민+영구)",국민임대,전라남도 담양군 담양읍 미리산길 46,2016-10-07,460,아파트,복도식,,전체동 설치,LH광주전남,46.96㎡,22.20㎡,"17,884,000원","175,920원","21,000,000원"
"담양백동2(07,국민+영구)",국민임대,전라남도 담양군 담양읍 미리산길 46,2016-10-07,460,아파트,복도식,,전체동 설치,LH광주전남,26.79㎡,13.42㎡,"5,840,000원","89,520원","5,000,000원"
"담양백동2(07,국민+영구)",국민임대,전라남도 담양군 담양읍 미리산길 46,2016-10-07,460,아파트,복도식,,전체동 설치,LH광주전남,36.92㎡,17.89㎡,"8,223,000원","136,370원","15,000,000원"
창덕에버빌아파트,10년임대,전라남도 광양시 광양읍 용강1길 12,2001-09-28,3,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,84.76㎡,27.19㎡,"34,066,000원","192,000원","27,000,000원"
무안남악경남아너스빌,10년임대,전라남도 무안군 삼향읍 남악5로22번길 60,2008-11-21,2,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,84.99㎡,35.01㎡,0원,0원,0원
목포신안인스빌,10년임대,전라남도 목포시 삼학로 363,2007-09-27,4,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,84.78㎡,21.39㎡,0원,0원,0원
장성삼계LH1단지,영구임대,전라남도 장성군 삼계면 영장로 1589,2020-09-30,30,아파트,계단식,개별가스난방,,LH광주전남,26.77㎡,12.75㎡,"10,564,000원","96,270원","11,000,000원"
장성삼계LH1단지,영구임대,전라남도 장성군 삼계면 영장로 1589,2020-09-30,30,아파트,계단식,개별가스난방,,LH광주전남,26.68㎡,12.71㎡,"10,529,000원","95,950원","11,000,000원"
순천금강메트로빌아파트,10년임대,전라남도 순천시 둑실5길 25,2004-06-07,8,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,84.67㎡,21.45㎡,0원,0원,0원
부강1차아파트,국민임대,전라남도 장성군 장성읍 오동촌길 16,2009-12-01,10,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,59.55㎡,30.07㎡,"19,819,000원","156,070원","18,000,000원"
해남해리아파트,국민임대,전라남도 해남군 해남읍 교육청길 41,2014-02-17,304,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,46.92㎡,21.19㎡,"16,458,000원","122,880원","12,000,000원"
해남해리아파트,국민임대,전라남도 해남군 해남읍 교육청길 41,2014-02-17,304,아파트,복도식,개별가스난방,전체동 설치,LH광주전남,36.8㎡,16.62㎡,"8,778,000원","85,580원","5,000,000원"
나주1차대방노블랜드,국민임대,전라남도 나주시 대호길 76-8,2006-12-05,66,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,59.98㎡,27.71㎡,"33,323,000원","277,480원","33,000,000원"
장성 부강2차아파트,국민임대,전라남도 장성군 장성읍 수산길 14,2004-04-15,6,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,59.51㎡,19.56㎡,"24,969,000원","137,310원","15,000,000원"
순천향림세미텔,국민임대,전라남도 순천시 석현북길 40,2000-04-01,40,아파트,계단식,개별가스난방,미설치,LH광주전남,19.6㎡,16.4㎡,"4,942,000원","39,920원",0원
나주대방노블랜드1차아파트,10년임대,전라남도 나주시 대호길 76-8,2006-12-05,3,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,84.97㎡,27.53㎡,0원,0원,0원
무안남악신동아파밀리에,10년임대,전라남도 무안군 삼향읍 남악영산길 39,2008-02-01,7,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,84.99㎡,26.66㎡,0원,0원,0원
함평향교(국민+영구),국민임대,전라남도 함평군 대동면 영수길 367,2018-08-21,56,아파트,복도식,,전체동 설치,LH광주전남,33.53㎡,15.62㎡,"6,682,000원","115,130원","10,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,36.97㎡,16.11㎡,"25,600,000원","160,000원","19,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,16.87㎡,8.06㎡,"12,480,000원","78,000원","3,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,16.89㎡,8.05㎡,"12,480,000원","78,000원","3,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,16.95㎡,8.01㎡,"12,480,000원","78,000원","3,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,26.6㎡,12.30㎡,"18,840,000원","117,750원","11,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,26.65㎡,12.27㎡,"18,840,000원","117,750원","11,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,26.83㎡,12.15㎡,"18,840,000원","117,750원","11,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,36.62㎡,16.34㎡,"25,600,000원","160,000원","19,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,36.66㎡,16.32㎡,"25,600,000원","160,000원","19,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,36.81㎡,16.22㎡,"25,600,000원","160,000원","19,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,36.85㎡,16.19㎡,"25,600,000원","160,000원","19,000,000원"
여수관문 행복주택,행복주택,전라남도 여수시 관문1길 14,2020-11-27,200,아파트,,,,LH광주전남,36.88㎡,16.17㎡,"25,600,000원","160,000원","19,000,000원"
포미타운주공2단지,국민임대,전라남도 목포시 포미로 22,2004-09-12,980,아파트,계단식,개별가스난방,전체동 설치,LH광주전남,59.99㎡,19.21㎡,"26,712,000원","150,960원","18,000,000원"
